id,lat,lon
Inns,47.26340696109958,11.402294029850026
Woerg,47.49184496884139,12.061204116287245
Schw,47.319114657993396,13.154928201942424
Bisch,47.41762970332065,13.219774269496444
Salz,47.81331536931571,13.045124427196313
Vill,46.61846701482138,13.84865023875125
Attn,48.01264438866097,13.720912581173627
Stain,47.529621311277836,14.10653865415864
Linz,48.29153746136894,14.290948623520158
Selz,47.550214102106466,14.313178984851008
Kla,46.616789668888444,14.312475765732959
StMich,47.34678704318354,15.009504854146162
Amst,48.12197208096626,14.878266762874773
Bruck,47.41411519791766,15.279153700451964
Graz,47.07255878476962,15.41835448110928
WrNeu,47.81170354349539,16.234402367668835
Wien,48.185510161153935,16.376596137047983
InnsH,47.26340696109958,11.252294029850026
KlaH,46.766789668888444,14.312475765732959
GrazH,47.07255878476962,15.26835448110928
SalzH,47.96331536931571,13.045124427196313
LinzH,48.44153746136894,14.290948623520158
WienH,48.335510161153935,16.376596137047983
